id,location,region,type,month,day,descr,deaths,death_stat,lon,lat
1,"7. Juli, Paracin",Serbia,military facility,4,16,barracks,0,,21.41,43.86
2,Ada Ciganlija,Serbia,industry,5,18,depot,0,,20.41,44.79
3,Ada Ciganlija,Serbia,industry,5,20,depot,0,,20.41,44.79
4,"Aleksandrovo, Merosina",Serbia,military units,6,3,,0,,21.75,43.3
5,Aleksinac,Serbia,military facility,3,26,barracks,0,,21.71,43.53
6,Aleksinac,Serbia,civilian,4,5,,12,civilian,21.71,43.54
7,Aleksinac,Serbia,civilian,5,28,house,3,civilian,21.71,43.54
8,Arandjelovac,Serbia,communications,3,25,relay on Bukulja,0,,20.53,44.3
9,Ariljaca,Kosovo,military units,5,1,,3,civilian,21,42.58
10,Avala,Serbia,military units,3,24,,0,,20.49,44.73
11,Avala,Serbia,military units,3,26,,0,,20.49,44.73
12,Avala,Serbia,military units,3,30,,0,,20.49,44.73
13,Avala,Serbia,military units,4,23,,0,,20.49,44.73
14,Avala,Serbia,communications,4,25,,0,,20.49,44.73
15,Avala,Serbia,military units,5,7,,0,,20.49,44.73
16,Avalski toranj,Serbia,communications,4,29,,0,,20.51,44.7
17,"Backa Palanka, most 25. maj",Serbia,infrastructure,4,3,bridge,0,,19.4,45.23
18,"Backa Palanka, most 25. maj",Serbia,infrastructure,4,27,bridge,0,,19.4,45.23
19,Bair,Kosovo,military units,4,19,,0,,20.87,42.88
20,Bair,Kosovo,military units,5,22,,0,,20.87,42.88
21,Bajina Basta,Serbia,industry,5,21,plant,0,,19.57,43.97
22,Banatski Dvor,Serbia,infrastructure,5,20,bridge,0,,20.52,45.51
23,Banatski Dvor,Serbia,infrastructure,5,22,bridge,0,,20.52,45.51
24,Banjica,Serbia,military facility,4,3,police,0,,20.46,44.77
25,"Banjica, ul. Vasa Carapic",Serbia,military facility,4,13,,0,,20.47,44.76
26,Banjica/Baice,Kosovo,military units,3,28,,1,military,20.91,42.52
27,Bar,Montenegro,military facility,3,24,military,0,,19.09,42.1
28,Barajevo,Serbia,military units,5,11,,1,military,20.37,44.61
29,Baric,Serbia,industry,4,17,factory,0,,20.25,44.66
30,Baric,Serbia,military units,4,19,,0,,20.25,44.66
31,Baric,Serbia,industry,5,11,factory,0,,20.25,44.66
32,Baric,Serbia,industry,5,20,factory,0,,20.25,44.66
33,Batajnica,Serbia,military facility,3,24,airport,0,,20.25,44.93
34,Batajnica,Serbia,military facility,3,27,airport,0,,20.25,44.93
35,Batajnica,Serbia,military facility,3,28,airport,0,,20.25,44.93
36,Batajnica,Serbia,military facility,3,29,,0,,20.25,44.93
37,Batajnica,Serbia,military facility,4,7,airport,0,,20.25,44.93
38,Batajnica,Serbia,civilian,4,17,,1,civilian,20.25,44.93
39,Batajnica,Serbia,military facility,4,18,airport,0,,20.25,44.93
40,Batajnica,Serbia,military units,4,20,,0,,20.25,44.93
41,Batajnica,Serbia,military facility,4,22,airport,0,,20.25,44.93
42,Batajnica,Serbia,military facility,5,3,airport,0,,20.25,44.93
